,player,nation,pos,squad,comp,age,mp,starts,min,90s,gls,ast,g&a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg&xag,prgc,prgp,prgr,gls,ast,g&a,g_pk,g&a_pk,xg,xag,xg&xag,npxg,npxg&xag,agg_pos
0,Brenden Aaronson,USA,"MF,FW",Leeds United, Premier League,21,36.0,28.0,2372.0,26.4,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,3.9,3.9,4.2,8.1,43.0,86.0,151.0,0.04,0.11,0.15,0.04,0.15,0.15,0.16,0.31,0.15,0.31,MF
1,Paxten Aaronson,USA,"MF,DF",Eint Frankfurt, Bundesliga,18,7.0,0.0,173.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,8.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.11,0.09,0.11,MF
2,James Abankwah,IRL,DF,Udinese, Serie A,18,2.0,1.0,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
3,George Abbott,ENG,MF,Tottenham, Premier League,16,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
4,Yunis Abdelhamid,MAR,DF,Reims, Ligue 1,34,37.0,37.0,3330.0,37.0,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,2.4,2.4,1.0,3.4,40.0,215.0,10.0,0.03,0.05,0.08,0.03,0.08,0.06,0.03,0.09,0.06,0.09,DF
5,Himad Abdelli,ALG,"MF,FW",Angers, Ligue 1,22,30.0,24.0,2137.0,23.7,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,1.4,1.4,2.9,4.3,58.0,151.0,111.0,0.08,0.08,0.17,0.08,0.17,0.06,0.12,0.18,0.06,0.18,MF
6,Salis Abdul Samed,GHA,MF,Lens, Ligue 1,22,33.0,33.0,2894.0,32.2,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.9,0.9,1.6,2.5,33.0,165.0,44.0,0.03,0.03,0.06,0.03,0.06,0.03,0.05,0.08,0.03,0.08,MF
7,Laurent Abergel,FRA,MF,Lorient, Ligue 1,29,29.0,28.0,2342.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.5,0.5,1.3,1.8,13.0,143.0,14.0,0.0,0.04,0.04,0.0,0.04,0.02,0.05,0.07,0.02,0.07,MF
8,Oliver Abildgaard,DEN,MF,Hellas Verona, Serie A,26,13.0,6.0,592.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.6,2.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,MF
9,Matthis Abline,FRA,"FW,MF",Auxerre, Ligue 1,19,19.0,8.0,806.0,9.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,3.6,2.0,0.7,2.7,14.0,8.0,49.0,0.22,0.11,0.33,0.11,0.22,0.4,0.08,0.47,0.22,0.3,FW
10,Matthis Abline,FRA,"FW,MF",Rennes, Ligue 1,19,11.0,0.0,107.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,1.0,4.0,2.0,11.0,0.84,0.0,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87,FW
11,Abner,BRA,DF,Betis, La Liga,22,13.0,7.0,607.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.7,1.7,0.1,1.8,8.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.25,0.02,0.27,0.25,0.27,DF
